	NA19098.r1.bulk	NA19098.r2.bulk	NA19098.r3.bulk	NA19101.r1.bulk	NA19101.r2.bulk	NA19101.r3.bulk	NA19239.r1.bulk	NA19239.r2.bulk	NA19239.r3.bulk
ENSG00000144567	3.996451	4.063327	4.048394	3.53307	4.017649	3.807387	4.038619	3.99143	4.360242
ENSG00000158552	4.287005	4.408824	4.538152	4.45875	4.545283	4.510114	4.789197	4.70693	4.785049
ENSG00000198925	4.986159	4.849092	4.687204	4.536399	4.846522	4.859611	5.150776	4.912464	5.077705
ENSG00000163516	6.126147	5.828321	5.447263	5.704293	5.638176	5.78071	5.61316	5.584824	5.533652
ENSG00000115661	3.070845	3.74598	2.860466	3.26012	2.510883	2.962692	3.730938	3.565629	3.292925
ENSG00000127824	7.142845	7.582207	7.231433	6.958603	6.794153	7.061709	6.410173	6.897022	6.487449
ENSG00000135924	3.224566	3.423194	3.409136	3.042637	3.225364	3.409713	2.880381	3.02482	3.435865
ENSG00000123992	5.644092	5.657131	5.500191	5.774999	5.546197	5.825892	5.623959	5.966632	5.717997
ENSG00000072195	4.122188	4.254117	4.146523	3.974783	3.747219	3.759396	3.044765	4.06449	4.089343
ENSG00000144591	5.812124	5.563261	5.628965	5.31781	5.595216	5.443736	5.891574	5.692926	5.616034
ENSG00000123989	5.010759	4.481686	4.124675	4.187216	4.251139	4.403445	4.488021	3.885729	4.108442
ENSG00000124006	5.595046	5.294799	5.249464	4.99427	5.037664	5.052976	4.446044	4.520081	4.632878
ENSG00000144589	3.665663	3.367316	3.334961	3.090949	3.52911	3.559899	3.395033	3.180176	3.485407
ENSG00000116106	2.00213	1.708931	3.291498	2.228242	2.367754	2.850559	2.856163	3.013055	3.944527
ENSG00000116120	7.656946	7.631666	7.69791	7.699788	7.691561	7.721985	7.927816	7.85207	7.614725
ENSG00000123983	7.434694	6.948287	6.905207	6.816981	7.235905	7.154447	6.949492	6.831551	7.054215
ENSG00000152056	3.942918	3.406657	3.852955	3.849326	4.116904	4.152967	3.704052	3.632511	3.620147
ENSG00000085449	6.363659	6.386752	6.290354	6.26715	6.387461	6.336898	5.942783	6.283632	6.048143
ENSG00000135900	7.071366	7.102135	7.116442	7.123485	7.037372	7.030342	6.839913	7.034662	6.869244
ENSG00000135919	5.025319	4.614825	4.614602	4.275799	4.630616	4.80693	4.312245	4.396489	4.420066
ENSG00000036257	6.08581	5.788454	5.598577	5.376375	5.673386	5.677674	5.541881	5.415305	5.794677
ENSG00000169047	4.044895	3.674103	3.668953	3.586469	3.465249	3.934629	3.050112	3.211397	3.292925
ENSG00000144468	4.060689	3.934666	3.964782	3.954616	4.113703	3.894796	4.184343	4.163595	4.098924
ENSG00000168958	6.534556	6.596318	6.62738	6.389159	6.532341	6.553203	6.604423	6.595085	6.579865
ENSG00000173744	5.555465	5.26911	5.163677	5.197936	5.22582	5.439589	4.910285	4.940683	5.243815
ENSG00000135917	3.517897	3.33272	2.820252	3.457286	2.649951	3.609961	1.85793	2.837411	3.077227
ENSG00000153827	6.240802	6.030736	5.914097	5.58567	5.694963	5.779617	5.80566	5.682751	5.91617
ENSG00000153832	2.743047	2.472852	2.510619	3.178013	2.70203	2.449923	3.763856	4.142152	3.714577
ENSG00000135899	4.104012	4.06684	4.149231	3.80496	3.94387	4.06238	3.750779	3.936436	4.142813
ENSG00000067066	1.310206	1.061653	0.8256797	1.21168	1.473724	1.484826	1.086317	0.9699253	0.9254227
ENSG00000135932	5.033345	4.792934	4.500474	4.61376	4.681224	4.980614	4.480119	4.44764	4.824084
ENSG00000135916	8.410518	8.248857	8.007007	7.786891	7.792094	7.794132	7.846595	7.844207	7.872917
ENSG00000173692	8.326299	8.353046	8.218394	8.370816	8.38602	8.444341	8.344111	8.322903	8.272207
ENSG00000135931	5.680323	5.646606	5.670085	5.915764	5.800254	5.864555	5.534269	5.639409	5.599254
ENSG00000156966	5.163372	4.369543	3.615125	3.895395	3.231283	3.798779	3.456733	3.482756	3.183111
ENSG00000115053	10.47563	10.18868	10.17197	9.97916	10.40449	10.3361	10.6827	10.13992	10.27301
ENSG00000156973	5.652454	5.206795	5.274484	5.641703	5.388276	5.477837	5.814328	5.81058	5.773893
ENSG00000144524	6.315764	6.428307	6.45917	6.55668	6.61333	6.605962	6.632767	6.690957	6.588393
ENSG00000144535	3.32214	3.46106	3.05784	3.075024	3.158598	3.235694	3.659264	2.747974	3.325936
ENSG00000135930	8.117729	8.323068	8.446456	8.591863	8.617757	8.588334	8.370399	8.53635	8.400907
ENSG00000204120	6.546383	6.114585	6.140548	5.982021	6.283053	6.314428	6.362075	6.005743	6.288296
ENSG00000085978	4.146072	4.349494	4.472637	4.61376	4.702686	4.832457	4.49588	4.598929	4.944111
ENSG00000077044	3.576197	3.544051	3.45363	2.850214	2.937479	3.609961	3.112782	3.390292	3.495114
ENSG00000085982	2.703354	2.086538	2.552134	2.946717	2.893363	3.334288	3.138112	2.940381	3.13425
ENSG00000123485	6.606796	6.724721	6.907208	6.757527	6.819423	6.658645	6.884	6.792514	6.623115
ENSG00000188042	5.020482	4.769413	4.92541	4.804502	4.939844	4.702359	4.446044	4.458524	4.674055
ENSG00000130147	4.890428	4.619616	4.766945	4.393902	4.25405	4.263445	4.466185	4.430053	4.871437
ENSG00000157985	4.683636	4.335	4.178688	3.957515	3.993473	4.044288	4.094034	4.312597	4.383948
ENSG00000132321	3.218947	3.29128	2.867061	3.711911	3.371882	3.564984	2.581221	3.001194	2.983788
ENSG00000198612	7.730619	7.783752	7.924251	7.927109	7.900078	7.763218	7.928179	7.986921	7.734558
ENSG00000124839	6.569749	5.984126	5.620209	6.441333	6.185054	6.426928	5.745952	5.169875	4.688934
ENSG00000124831	7.055295	6.354781	6.109599	6.471046	6.172035	6.22007	6.133065	5.959754	5.957133
ENSG00000184182	3.101706	2.724869	2.414849	2.561102	2.244401	2.449923	2.735226	2.106076	2.776525
ENSG00000132330	5.166295	5.190787	5.554314	5.579098	6.000689	5.74643	5.506335	5.327791	5.591357
ENSG00000132323	5.111243	5.083899	5.163677	4.965765	5.074349	5.0439	5.642663	5.215502	5.44878
ENSG00000144485	3.589323	2.923928	2.91876	2.862636	2.658763	2.654594	3.468762	3.231842	3.189104
ENSG00000204104	4.019261	3.930815	3.413648	3.67717	3.408912	3.988609	3.515902	3.246987	3.309525
ENSG00000065802	5.226342	4.86532	4.649449	4.879766	4.457112	4.774372	4.969339	4.985017	4.65686
ENSG00000068024	2.877526	2.351377	2.827033	2.330154	2.290486	2.524905	2.331848	2.283036	2.962953
ENSG00000130414	7.200295	7.202549	7.24858	7.286213	7.355898	7.17205	7.067572	7.326958	7.245
ENSG00000172428	8.562872	8.494415	8.436653	8.617743	8.549367	8.601076	8.390695	8.468381	8.459722
ENSG00000063660	3.730289	3.303242	3.862887	2.530288	3.831463	3.600086	3.915114	3.537162	4.303364
ENSG00000142330	3.190518	2.876679	2.813439	2.692158	2.71053	2.576175	3.365311	2.652624	3.158887
ENSG00000130294	7.64861	7.21051	7.14589	7.36008	7.273321	7.450745	7.592953	7.700554	7.317575
ENSG00000122085	5.593962	5.565746	5.781621	5.504765	5.58022	5.481876	5.583964	5.435277	5.568551
ENSG00000115687	4.494264	4.21666	4.305484	3.913418	4.007338	4.186348	4.164757	4.032798	4.249897
ENSG00000115685	6.979639	7.021616	7.078942	7.198593	7.00232	7.0262	6.791247	7.045169	7.101849
ENSG00000115677	7.443756	7.416923	7.269577	7.417776	7.329239	7.498702	7.42561	7.414521	7.416673
ENSG00000168385	8.76582	8.713749	8.858523	8.714824	8.839338	8.719819	8.957351	8.9769	9.011025
ENSG00000006607	3.996451	3.539001	4.183979	4.005914	4.145396	4.327682	4.043989	3.914471	4.516161
ENSG00000115694	6.17775	5.859035	5.810135	5.497814	5.742365	5.718179	6.151218	5.979536	6.206459
ENSG00000176720	3.986563	3.211013	3.236535	3.202651	3.355716	3.497438	4.347419	4.174198	4.475058
ENSG00000176946	5.84806	5.724286	5.596594	5.452308	5.694963	5.720459	5.905655	5.788322	5.544211
ENSG00000168397	5.772394	5.885135	6.092114	5.553467	6.126708	5.892129	6.212118	5.909874	6.17132
ENSG00000168393	6.879458	6.878545	7.066461	6.22808	6.894547	6.750222	7.214415	6.709755	6.916516
