	individual	replicate	well	batch	sample_id
90	NA19098	r2	B08	NA19098.r2	NA19098.r2.B08
91	NA19098	r2	B10	NA19098.r2	NA19098.r2.B10
92	NA19098	r2	C01	NA19098.r2	NA19098.r2.C01
93	NA19098	r2	C06	NA19098.r2	NA19098.r2.C06
94	NA19098	r2	C07	NA19098.r2	NA19098.r2.C07
95	NA19098	r2	E08	NA19098.r2	NA19098.r2.E08
96	NA19098	r2	E11	NA19098.r2	NA19098.r2.E11
97	NA19098	r2	F04	NA19098.r2	NA19098.r2.F04
98	NA19098	r2	F07	NA19098.r2	NA19098.r2.F07
99	NA19098	r2	G08	NA19098.r2	NA19098.r2.G08
100	NA19098	r2	G12	NA19098.r2	NA19098.r2.G12
101	NA19098	r3	A03	NA19098.r3	NA19098.r3.A03
102	NA19098	r3	A06	NA19098.r3	NA19098.r3.A06
103	NA19098	r3	A08	NA19098.r3	NA19098.r3.A08
104	NA19098	r3	A12	NA19098.r3	NA19098.r3.A12
105	NA19098	r3	B01	NA19098.r3	NA19098.r3.B01
106	NA19098	r3	B03	NA19098.r3	NA19098.r3.B03
107	NA19098	r3	B04	NA19098.r3	NA19098.r3.B04
108	NA19098	r3	B05	NA19098.r3	NA19098.r3.B05
109	NA19098	r3	B07	NA19098.r3	NA19098.r3.B07
110	NA19098	r3	B09	NA19098.r3	NA19098.r3.B09
