individual	batch	well	cell_number	concentration	tra1-60
19239	1	C06	1	1.855253172	1
19239	1	C07	1	0.95082801	1
19239	1	C08	1	1.546558357	1
19239	1	C09	1	1.581023161	1
19239	1	C10	1	2.308094169	1
19239	1	C11	1	1.692145212	1
19239	1	C12	1	2.366722407	1
19239	1	D01	1	2.436984654	1
19239	1	D02	1	2.254225565	1
19239	1	D03	1	1.807833044	1
19239	1	D04	1	2.227714183	1
19239	1	D05	1	2.002390127	1
19239	1	D06	1	2.116711853	1
19239	1	D07	1	1.027878547	1
19239	1	D08	1	2.375293066	1
19239	1	D09	1	2.356210461	1
19239	1	D10	1	1.483097069	1
19239	1	D11	1	1.784577106	1
19239	1	D12	1	1.700927998	1
19239	1	E01	1	2.043244828	1
19239	1	E02	1	1.947571125	1
19239	1	E03	1	1.29520616	1
19239	1	E04	1	1.527923799	1
19239	1	E05	1	0.295509655	1
19239	1	E06	1	1.540942115	1
19239	1	E07	1	2.337854108	1
19239	1	E08	1	2.03942644	1
19239	1	E09	1	2.250344474	1
19239	1	E10	1	1.444816755	1
19239	1	E11	1	1.739204257	1
19239	1	E12	1	1.77117375	1
19239	1	F01	1	2.076040747	1
19239	1	F02	1	1.789883422	1
19239	1	F03	1	1.20912958	1
19239	1	F04	1	2.148238767	1
19239	1	F05	1	0.543424657	1
19239	1	F06	1	2.351396364	1
19239	1	F07	1	2.080731471	1
19239	1	F08	1	1.810433899	1
19239	1	F09	1	2.161321649	1
19239	1	F10	1	1.459165863	1
19239	1	F11	1	0.861137658	1
19239	1	F12	1	1.092112698	1
19239	1	G01	1	1.14442712	0
19239	1	G02	1	1.496262151	1
19239	1	G03	1	1.849553527	1
19239	1	G04	1	0	1
19239	1	G05	1	0.421514279	1
19239	1	G06	1	0.975106374	1
19239	1	G07	1	1.051889474	1
19239	1	G08	1	0.600548679	1
19239	1	G09	1	1.224329548	0
19239	1	G10	1	0.995896932	1
19239	1	G11	1	1.780858227	1
19239	1	G12	1	1.160121954	1
19239	1	H01	1	1.911772937	1
19239	1	H02	0	0.421976361	0
19239	1	H03	1	1.818185379	1
19239	1	H04	1	1.736954542	1
19239	1	H05	1	0.88481202	0
19239	1	H06	1	2.099167202	1
19239	1	H07	1	1.94921353	1
19239	1	H08	1	1.477074565	1
19239	1	H09	1	2.439706682	1
19239	1	H10	1	1.411599499	1
19239	1	H11	1	1.452419248	1
19239	1	H12	1	0.693144893	1
19239	2	A01	1	1.862914234	1
19239	2	A02	1	1.320297346	1
19239	2	A03	3	0.719261606	1
19239	2	A04	1	2.020372866	1
19239	2	A05	1	1.977590522	1
19239	2	A06	1	2.134019083	1
19239	2	A07	1	2.319599903	1
19239	2	A08	1	1.133700829	1
19239	2	A09	1	1.768840291	1
19239	2	A10	1	0.949980688	1
19239	2	A11	1	2.009981159	1
19239	2	A12	1	0.439379394	1
19239	2	B01	1	0.995317178	1
19239	2	B02	1	1.450684564	1
19239	2	B03	1	0.508504594	1
19239	2	B04	1	1.837481328	1
19239	2	B05	1	1.436371279	0
19239	2	B06	1	2.009275457	1
19239	2	B07	1	1.02811534	1
19239	2	B08	1	1.735667841	1
19239	2	B09	1	1.815700211	1
19239	2	B10	0	0.23690122	0
19239	2	B11	1	0.565050028	1
19239	2	B12	1	2.510170009	1
19239	2	C01	3	0.95757821	1
19239	2	C02	1	1.068476	1
19239	2	C03	1	0.39292156	1
19239	2	C04	1	1.537490551	1
19239	2	C05	1	2.114097614	1
19239	2	C06	1	1.348225899	1
19239	2	C07	1	1.830902368	1
19239	2	C08	1	0.554054317	1
19239	2	C09	1	1.932128287	1
19239	2	C10	3	0.496697657	1
19239	2	C11	1	1.479539001	1
19239	2	C12	1	2.025788804	0
19239	2	D01	1	2.459062573	1
19239	2	D02	1	1.627527924	1
19239	2	D03	1	1.08712346	0
19239	2	D04	1	2.306399491	1
19239	2	D05	1	1.739270361	1
19239	2	D06	1	2.137676959	1
19239	2	D07	1	0.48482642	1
19239	2	D08	1	1.13551101	1
19239	2	D09	1	0.422241772	1
19239	2	D10	3	0.956691055	1
19239	2	D11	1	2.275519116	1
19239	2	D12	1	1.70762281	1
19239	2	E01	1	2.583276418	1
19239	2	E02	1	2.09814518	1
19239	2	E03	3	0.747677945	1
19239	2	E04	1	2.429138562	1
19239	2	E05	1	2.241581363	1
19239	2	E06	1	2.116673544	1
19239	2	E07	1	2.022385472	1
19239	2	E08	1	2.447555843	1
19239	2	E09	1	0.588280054	1
19239	2	E10	3	1.635819889	1
19239	2	E11	1	1.401776107	1
19239	2	E12	1	2.265910166	1
19239	2	F01	1	2.749210252	1
19239	2	F02	1	2.157440247	1
19239	2	F03	1	1.878545957	1
19239	2	F04	1	0.727978452	1
19239	2	F05	1	1.667624722	1
19239	2	F06	1	0.698165818	1
19239	2	F07	1	0.438639874	1
19239	2	F08	1	2.450834071	1
19239	2	F09	1	0.998721446	1
19239	2	F10	1	1.034692701	1
19239	2	F11	1	1.734119689	1
19239	2	F12	1	0.511885137	1
19239	2	G01	1	2.081585257	1
19239	2	G02	1	1.505332161	1
19239	2	G03	1	0.549783868	1
19239	2	G04	1	2.301154129	1
19239	2	G05	1	2.10406385	1
19239	2	G06	1	1.549630672	1
19239	2	G07	1	2.11133928	1
19239	2	G08	1	0.482230546	1
19239	2	G09	1	2.012483848	1
19239	2	G10	1	2.184050599	1
19239	2	G11	1	1.594107098	1
19239	2	G12	1	2.086396077	1
19239	2	H01	1	2.445009934	1
19239	2	H02	1	0.663365565	1
19239	2	H03	1	0.633642743	1
19239	2	H04	1	1.768611099	0
19239	2	H05	1	2.364122026	1
19239	2	H06	1	1.602776009	1
19239	2	H07	1	0.396096065	1
19239	2	H08	1	2.245154201	1
19239	2	H09	1	2.253005557	1
19239	2	H10	1	1.906109596	1
19239	2	H11	1	1.046977717	0
19239	2	H12	1	2.107812803	1
19239	3	A01	0	0.272085422	0
19239	3	A02	1	2.046470396	1
19239	3	A03	1	1.958628435	1
19239	3	A04	1	2.22305175	1
19239	3	A05	1	2.303252904	1
19239	3	A06	1	2.229873497	1
19239	3	A07	1	2.019150108	1
19239	3	A08	1	1.769169998	1
19239	3	A09	1	1.950584821	1
19239	3	A10	1	1.972495672	1
19239	3	A11	1	1.579177256	1
19239	3	A12	1	2.009360533	1
19239	3	B01	1	2.076755036	1
19239	3	B02	1	1.853816956	1
19239	3	B03	1	1.587677187	1
19239	3	B04	1	1.695698255	1
19239	3	B05	1	1.867451488	1
19239	3	B06	1	1.608797407	1
19239	3	B07	1	2.060887242	1
19239	3	B08	2	1.564560747	1
19239	3	B09	0	0.222138557	0
19239	3	B10	1	1.429479509	1
19239	3	B11	1	1.898250733	1
19239	3	B12	1	2.067119575	1
19239	3	C01	1	2.135417514	1
19239	3	C02	1	2.030860934	1
19239	3	C03	1	2.237801004	1
19239	3	C04	0	0.17229679	0
19239	3	C05	2	1.241641457	1
19239	3	C06	1	1.936150414	1
19239	3	C07	1	0.497771591	1
19239	3	C08	1	2.078743338	1
19239	3	C09	1	1.822143967	1
19239	3	C10	1	1.974346526	1
19239	3	C11	1	1.635353129	1
19239	3	C12	1	1.970571119	1
19239	3	D01	1	1.671644143	1
19239	3	D02	1	1.91106625	1
19239	3	D03	1	2.073954793	1
19239	3	D04	1	1.552834806	1
19239	3	D05	1	2.007214052	1
19239	3	D06	1	1.211702985	1
19239	3	D07	1	1.52403591	1
19239	3	D08	1	1.782909999	1
19239	3	D09	1	1.844968117	1
19239	3	D10	1	1.715533794	1
19239	3	D11	2	0.367578801	1
19239	3	D12	1	2.116701428	1
19239	3	E01	1	0.242539569	1
19239	3	E02	1	1.746871748	1
19239	3	E03	2	0.498545508	1
19239	3	E04	3	0.754053041	1
19239	3	E05	1	1.584797644	1
19239	3	E06	1	2.266100468	1
19239	3	E07	1	1.849056244	1
19239	3	E08	1	2.038002349	1
19239	3	E09	1	1.778167462	1
19239	3	E10	1	1.929736218	1
19239	3	E11	1	1.457868646	1
19239	3	E12	1	0.336594524	1
19239	3	F01	1	1.77867134	1
19239	3	F02	1	1.997304363	1
19239	3	F03	1	1.980141883	1
19239	3	F04	1	2.203060524	1
19239	3	F05	1	2.43561536	1
19239	3	F06	1	2.251515953	0
19239	3	F07	1	1.496694216	1
19239	3	F08	1	1.95946276	1
19239	3	F09	1	1.285000527	1
19239	3	F10	1	2.118324662	1
19239	3	F11	1	1.960410044	1
19239	3	F12	1	2.098970943	1
19239	3	G01	1	1.616761147	1
19239	3	G02	1	1.533792828	1
19239	3	G03	1	2.639455061	1
19239	3	G04	2	0.716223365	1
19239	3	G05	1	2.19107468	1
19239	3	G06	1	1.591538536	1
19239	3	G07	1	1.578269795	1
19239	3	G08	1	1.617603318	1
19239	3	G09	1	1.526117277	1
19239	3	G10	2	0.918470214	1
19239	3	G11	1	1.538930574	1
19239	3	G12	1	2.078469548	1
19239	3	H01	1	1.841577697	1
19239	3	H02	0	0.17150028	0
19239	3	H03	1	1.887482949	1
19239	3	H04	1	2.148062455	1
19239	3	H05	1	2.376667983	1
19239	3	H06	1	1.892735404	1
19239	3	H07	1	1.701783101	1
19239	3	H08	1	1.481259118	1
19239	3	H09	1	1.669400086	0
19239	3	H10	0	0.173631965	0
19239	3	H11	1	1.517990468	1
19239	3	H12	1	2.005086238	1
19101	1	A01	1	0.486173477	0
19101	1	A02	1	2.031475359	1
19101	1	A03	1	1.902082996	1
19101	1	A04	1	1.685645887	1
19101	1	A05	1	1.998168069	1
19101	1	A06	1	1.882011985	1
19101	1	A07	1	2.179268308	1
19101	1	A08	1	1.571018192	1
19101	1	A09	1	1.910569555	1
19101	1	A10	1	1.875990814	1
19101	1	A11	1	1.361611641	1
19101	1	A12	1	0.994690244	0
19101	1	B01	1	0.745131113	1
19101	1	B02	1	2.522033635	1
19101	1	B03	1	2.127896006	1
19101	1	B04	1	2.345596379	1
19101	1	B05	1	2.262096976	1
19101	1	B06	1	0.84541572	0
19101	1	B07	1	1.850309688	1
19101	1	B08	1	1.318551713	1
19101	1	B09	1	1.926279646	1
19101	1	B10	1	0.963544869	1
19101	1	B11	1	1.945768977	1
19101	1	B12	1	2.724288263	1
19101	1	C01	1	1.717321706	1
19101	1	C02	1	1.756617009	1
19101	1	C03	1	2.553638939	1
19101	1	C04	1	1.699823811	1
19101	1	C05	1	2.171778437	1
19101	1	C06	1	1.948789172	1
19101	1	C07	1	2.274926001	1
19101	1	C08	1	2.203895269	1
19101	1	C09	1	1.589925346	1
19101	1	C10	1	2.059060021	1
19101	1	C11	1	2.119097091	1
19101	1	C12	1	2.956658486	1
19101	1	D01	1	1.890110293	1
19101	1	D02	1	2.001509433	1
19101	1	D03	1	2.483900395	1
19101	1	D04	1	1.186489864	1
19101	1	D05	1	2.016529712	1
19101	1	D06	1	2.200436728	1
19101	1	D07	1	2.208406268	1
19101	1	D08	1	1.653398762	1
19101	1	D09	1	1.934606153	1
19101	1	D10	1	2.305966916	1
19101	1	D11	1	1.579825067	1
19101	1	D12	1	2.310507647	1
19101	1	E01	1	2.304629334	1
19101	1	E02	1	1.433612784	1
19101	1	E03	1	2.173862655	1
19101	1	E04	1	2.099845672	1
19101	1	E05	1	1.465321836	1
19101	1	E06	1	1.031209212	1
19101	1	E07	1	2.732628028	1
19101	1	E08	1	1.534532968	1
19101	1	E09	1	0.37119734	0
19101	1	E10	1	1.527026267	1
19101	1	E11	1	0.453713863	1
19101	1	E12	1	2.879009414	1
19101	1	F01	1	1.733122921	1
19101	1	F02	1	1.80424669	1
19101	1	F03	1	2.158060959	1
19101	1	F04	1	2.40308699	1
19101	1	F05	0	0.30960047	1
19101	1	F06	3	0.840578684	1
19101	1	F07	1	2.255696482	1
19101	1	F08	1	2.034736675	1
19101	1	F09	1	1.992548057	1
19101	1	F10	1	0.437721308	0
19101	1	F11	1	2.197919328	1
19101	1	F12	1	2.564400242	1
19101	1	G01	1	0.731303812	0
19101	1	G02	1	1.861975664	1
19101	1	G03	1	2.124069845	1
19101	1	G04	1	1.816172371	1
19101	1	G05	1	2.333271799	1
19101	1	G06	1	0.435983608	1
19101	1	G07	1	2.359335987	1
19101	1	G08	1	1.967949313	1
19101	1	G09	1	1.907447096	1
19101	1	G10	1	1.722585039	1
19101	1	G11	1	2.476501577	1
19101	1	G12	1	2.237401442	1
19101	1	H01	1	2.539032623	1
19101	1	H02	1	2.538935479	1
19101	1	H03	1	2.170774488	1
19101	1	H04	1	0.869518122	1
19101	1	H05	1	2.102675714	1
19101	1	H06	1	2.384769575	1
19101	1	H07	3	0.638600186	1
19101	1	H08	1	1.852554797	1
19101	1	H09	1	0.49648517	0
19101	1	H10	1	1.972729207	1
19101	1	H11	3	0.97047869	1
19101	1	H12	1	1.965652452	0
19101	2	A01	1	1.756953349	1
19101	2	A02	1	1.549761258	1
19101	2	A03	1	0.569543024	1
19101	2	A04	1	0.812727134	1
19101	2	A05	2	1.644771168	1
19101	2	A06	1	1.823095253	1
19101	2	A07	1	0.936196087	1
19101	2	A08	1	1.94647522	1
19101	2	A09	1	1.323398976	1
19101	2	A10	1	1.755611539	1
19101	2	A11	1	0.922958593	1
19101	2	A12	1	0.675895293	1
19101	2	B01	1	0.844004935	1
19101	2	B02	1	1.213310025	1
19101	2	B03	1	1.718169068	1
19101	2	B04	1	1.185625352	1
19101	2	B05	1	1.359645105	1
19101	2	B06	1	2.193139501	1
19101	2	B07	0	0.603193268	0
19101	2	B08	1	1.199717311	1
19101	2	B09	1	1.549181442	1
19101	2	B10	1	1.550914312	1
19101	2	B11	0	0.671810009	0
19101	2	B12	1	1.816099497	1
19101	2	C01	1	1.386240957	1
19101	2	C02	0	0.612323654	0
19101	2	C03	1	1.520402409	1
19101	2	C04	1	1.377213233	1
19101	2	C05	1	1.581745967	1
19101	2	C06	1	2.2703266	1
19101	2	C07	1	1.592440928	1
19101	2	C08	1	1.574983554	1
19101	2	C09	1	1.213018217	1
19101	2	C10	1	0.611189028	1
19101	2	C11	1	1.416254811	1
19101	2	C12	1	0.863938965	1
19101	2	D01	1	1.649572672	1
19101	2	D02	1	1.654351266	1
19101	2	D03	1	1.535341636	1
19101	2	D04	1	1.732247687	1
19101	2	D05	1	1.052074766	1
19101	2	D06	1	1.57877664	1
19101	2	D07	1	0.321581434	1
19101	2	D08	1	1.481396599	1
19101	2	D09	1	1.109627714	1
19101	2	D10	1	1.882841496	1
19101	2	D11	1	1.347089329	1
19101	2	D12	1	1.126792939	1
19101	2	E01	1	1.845530419	1
19101	2	E02	1	1.491863316	1
19101	2	E03	1	1.116714485	1
19101	2	E04	1	1.868074385	1
19101	2	E05	1	0.661777756	1
19101	2	E06	1	1.612904157	1
19101	2	E07	1	1.139856856	1
19101	2	E08	3	0.339689768	1
19101	2	E09	1	1.506952326	1
19101	2	E10	1	1.8569497	1
19101	2	E11	1	1.536018227	1
19101	2	E12	1	1.995820295	1
19101	2	F01	1	2.003591171	1
19101	2	F02	1	0.509965066	1
19101	2	F03	1	1.954332149	1
19101	2	F04	1	2.038757062	1
19101	2	F05	2	1.885614371	1
19101	2	F06	1	1.363115965	1
19101	2	F07	1	1.549305705	1
19101	2	F08	1	1.389298153	1
19101	2	F09	1	1.150226436	1
19101	2	F10	1	0.916201455	1
19101	2	F11	1	0.600905855	1
19101	2	F12	1	1.152069954	1
19101	2	G01	1	2.3710883	1
19101	2	G02	1	1.673048356	1
19101	2	G03	1	1.659460608	1
19101	2	G04	1	1.949681322	1
19101	2	G05	1	1.531657951	1
19101	2	G06	1	0.463359874	1
19101	2	G07	1	1.535403193	1
19101	2	G08	1	0.905854322	1
19101	2	G09	1	1.636814586	1
19101	2	G10	1	0.883046405	1
19101	2	G11	1	1.06786026	1
19101	2	G12	1	2.145591373	1
19101	2	H01	1	1.799021468	1
19101	2	H02	1	2.088389108	1
19101	2	H03	1	1.991286699	1
19101	2	H04	0	0.358409954	0
19101	2	H05	1	1.626705454	1
19101	2	H06	1	2.205179359	1
19101	2	H07	1	1.392449767	1
19101	2	H08	1	1.902845351	1
19101	2	H09	1	1.284722946	1
19101	2	H10	1	0.596269906	1
19101	2	H11	1	1.413997699	1
19101	2	H12	1	0.833875954	1
19101	3	A01	1	1.516669433	1
19101	3	A02	1	1.455238053	1
19101	3	A03	0	0.267965556	0
19101	3	A04	3	1.009603766	1
19101	3	A05	1	0.578411177	1
