NA19098	NA19101	NA19239
PSMD14	SAFB2	YIPF4
SLC50A1	SLC33A1	RAB13
ASB13	ELL	SNX16
ANKRD32	EXPH5	PPP1R18
ZNF789	DRAP1	DENND1A
PLEKHF2	CCT5	CCDC50
CDK10	BRCA2	CDK13
PTPN21	METTL23	RNF213
DROSHA	OPN3	RFK
PDE12	FLVCR1	FAM131B
MED26	CCDC69	ST3GAL6
ASL	CHN1	DSEL
MCUR1	NKAP	DNAJC27
C1orf94	DPP3	MCTS1
MCCC2	COL4A3BP	BAZ1A
UBA3	CEP63	RFXANK
HPS3	CCDC132	ZDHHC18
KIF13A	ATXN2L	ABCF2
CEP85L	AMFR	ZNF33B
PLEKHA6	PRKACB	SELM
ZNF736	ANAPC11	ZNF620
ZNF780A	SFXN4	HECTD3
PDHA1	CCDC130	HES1
C1orf85	STK35	FBXL5
GPX1	AMY2B	SCLY
VRK1	FAM171A1	EMP2
ZNF16	PPP1R18	GPN1
ZNF286B	NCAPD3	STK19
ATP1A3	AGPAT2	DIS3L2
NDUFS7	NUF2	UCKL1
ANKRD18A	GABARAPL1	ZC3H13
RPA3	DNAJC16	TMEM99
CCDC28B	LFNG	ARSK
DRAM1	SAP18	MTRNR2L3
TADA2A	USP37	FSD1L
RGS16	RCHY1	TMEM132A
LTBP1	CALN1	GABRB3
DENND1A	POGLUT1	BMPR2
FBXO16	RCAN3	CEP70
SPIB	BAG2	CISD3
ESF1	TUFM	C22orf29
CPT2	MRE11A	RAP1B
AKAP17A	ADAM10	SNAPC4
BOD1L1	PLAG1	LINGO1
RANBP10	BRWD3	KDM3A
CTTN	EIF3A	HIF3A
ANKRD42	UST	C10orf118
ILVBL	NEIL3	PPM1H
TAOK3	RB1	PLOD3
SPOCK1	RPS16	DRAM2
SCNN1A	MYO5C	SAAL1
CASC5	HEXIM1	LAMTOR2
C20orf96	TNFRSF10D	RELA
DUT	CASP8	TMEM19
NKAIN4	KDELR1	CCDC101
WWP2	DBN1	STIP1
DPF1	ADCY5	PGBD1
PEBP1	CEP76	ZFYVE16
TANC1	USP28	ZC3HAV1
UBE2E2	MED25	IKBKAP
GNPNAT1	TSPAN9	ZDHHC4
PTTG2	KIAA1644	RALGAPA1
CHMP4A	CACNB1	ME1
TBC1D5	PSME3	RSU1
NTPCR	PCYT1B	PRMT1
TFPI	FBXW2	RNFT1
MRPL28	CTSB	UBAP2L
CSTB	SCO2	SDHA
CDCA7L	POP7	NSL1
DLL3	IBA57	PSD3
SPAG16	PHC3	SEP15
ASAP3	USP19	TCF19
C3orf62	PEX5	PHGDH
ETV1	IFT88	TFRC
PTBP1	TMEM120B	KDM1A
ATP6V1E2	TTLL7	HELLS
MRPS18C	MAP2	ATP2B1
ATP1A2	PORCN	NAGA
PDCD7	CCDC71L	C8orf88
FUCA2	HSPA13	TNNI3
CYB5R2	AADAT	FAM220A
SLC9A3R1	ORAI1	MARCH6
PUS7L	TIPARP	GSE1
PPIA	EXOSC3	SULT4A1
KLHDC3	CLCN6	HNRNPH2
ARPC5L	SCAMP5	TMCC1
FIZ1	AHSA1	ACTR1B
KDELC2	RAB12	AP4B1
SEC22C	HIST1H3G	B3GALT5
VPS26B	MMP24	TRIB2
NOTCH2	MRPL2	DR1
RNLS	HAUS3	SORD
RFC1	DEPDC5	LYAR
GMPS	KTI12	NME7
FNTA	REEP3	UGCG
MTRNR2L8	TRIP13	BAK1
KLF10	C6orf57	CHDH
TBP	LINC00632	GSDMD
PIK3R4	PCSK7	ACAT2
ZNF347	MEF2D	HNRNPA2B1
ACN9	ANKRD13D	SHISA9
ELOVL6	PACS1	TIMM8B
LAMTOR1	PDZD4	ZKSCAN5
TMEM44	DECR1	UQCR10
HAUS2	INADL	TCOF1
LRRC58	MAFG	PEX1
CD2AP	VIMP	KIF9
UGP2	ESCO2	QPCT
MTF2	RAB11FIP5	GRIK5
EME1	GMEB2	STK25
FAM120B	ZRANB2	MRPS25
SUPT5H	ZFHX4	GATAD1
TSGA10	CYB561D2	TTC13
METTL2B	ATP1A1	RRP1B
BCL7A	DNAJB4	BRD3
IQGAP1	MLLT6	LRRC8B
USP46	SNRPD3	ACBD3
MAGEH1	GTPBP4	CIRH1A
OSTC	DAP3	FRYL
AMN1	TTI2	ZW10
TOP2A	KBTBD7	ST6GAL1
TMEM258	AGO4	GATAD2A
MLLT4	NRBP2	PLXNB2
PIGQ	ATG9A	ATG4C
TFCP2	GRB7	SCD
GJC3	CCDC138	AP4S1
IRAK1BP1	RPL21	PCYOX1
KCNK1	FERMT2	CCDC86
ICA1	MAPK8IP3	DTD2
G2E3	YTHDF3	FAM73A
SMPD4	CBFA2T2	COQ10B
DPY30	EP400NL	UBE2G2
MOB4	PICALM	BRAT1
FAM84B	GEMIN2	SRSF3
CYBRD1	THAP6	DNM1L
AL592284.1	PPAPDC1B	TCEB2
NBEA	TRAPPC2L	ZNF512B
GIT1	C9orf85	PLIN3
NDFIP1	GLOD4	EXOSC4
LIPA	KCNK5	PUS1
HSPBAP1	FAM60A	VPS52
ERI3	SUGT1	MYL6B
MADD	DPF2	STRA6
ZNRF3	TMEM209	ECI2
DCAF6	DBNDD2	TRIM61
WASF3	MED7	PICALM
KCTD20	SLC22A17	DOCK11
CAP1	SRSF7	SLC6A6
MGAT4C	C2orf76	TSR1
CKAP5	ST6GAL2	CCDC117
VPS54	USP7	PCF11
NACC1	EMC8	KIF27
C2orf49	CDCA2	LIN52
USP5	BAZ2A	KIAA1522
PCDH11Y	CASK	DLST
WDR7	BLVRB	NFX1
ADCY1	DTX3	L1CAM
ERLIN2	JAGN1	MZF1
ATP5F1	VCPKMT	TRDMT1
PAFAH1B2	MESDC1	HSD17B10
ING4	UPF3B	LRP3
PLGRKT	CEP250	ZNF680
IGF2BP1	TET3	RAMP2
PKP4	C17orf75	GLYR1
SMO	BTAF1	CENPT
TSKU	CLDN4	SAC3D1
ANXA7	BBS10	NUP133
PMM2	FOXK1	ZNF182
LARP4B	B4GALT4	ATP6V1H
CRLF3	ARHGAP18	RANBP1
SLC35A3	MACROD1	DNAJC16
CUL5	ADPGK	UBR7
TYW1	STK11	GRTP1
FCF1	C12orf23	OPN3
BBC3	POLR3A	BOD1
ZNF195	PCDH18	C1orf109
PDLIM5	RPP25L	UBLCP1
FIG4	PPP6C	ANKRD40
NDRG2	TUBB2A	UBTF
EIF4B	MYCBP2	SRPK1
DUSP23	PRKCSH	PRKAR1B
KIAA1919	G6PD	RMND1
VPS13A	LMO3	SEC61A2
LEPROTL1	RAP2A	MORF4L2
CLPP	GALNT14	PIP5K1C
MCM3AP	MALSU1	NAGPA
DPY19L3	SLC25A17	TNFAIP8
COX8A	ALDOC	FAM171B
TMPRSS2	DKC1	ZNF780A
SRPK2	CDK13	SLC39A10
C11orf1	TTC39B	IDH3B
TUFM	CCDC23	CLK2
CSRNP3	RBM15	CDC6
UBQLN1	MAPK7	ADAMTS8
ARID3B	CCT3	TAGLN
SRI	AIF1L	CAP1
USP12	ITGA7	LIPG
ALKBH7	HIST1H2AG	KIAA0430
SCNM1	PNRC2	PDE5A
SLC16A9	ASRGL1	PMEL
ATG16L2	ALMS1	ZNF777
AGPAT2	DUSP23	ADAMTS6
GDF11	VRK3	MARCH3
FZD5	ARL5A	YY1
CTC1	SORBS2	WDR54
ADAMTS12	PPIH	FLYWCH1
RPS20	SBF1	PPP2R1A
ZNF335	AZIN1	MACF1
PLA2G4C	NTM	MRPL54
STON1	IFNAR2	SIPA1L1
MAP3K3	WDFY2	MMGT1
CNTNAP2	PDCD7	WDR7
BDP1	STX6	MARK1
FAM20B	MAP3K2	MAT2A
LACTB	MRPL13	RINL
ALDH7A1	MEMO1	PRKRIP1
PNPLA8	OTUD6B	ANAPC4
SYDE1	NOVA1	ERGIC2
C8orf33	AL627309.1	RRP9
AZIN1	SLC35G1	MRPL37
HNRNPLL	GBF1	ARHGAP27
BAG3	ZDHHC7	RABL6
ELP5	SMPD2	TPP1
ZNF280C	CDPF1	ANKRD13A
RFX1	BZW1	PTPN14
IQCK	MARCH5	RPF1
SENP3	GFOD2	ZWILCH
PAQR5	SLC25A1	EFS
ABRACL	MED18	MAP2K2
SLC25A14	WBSCR22	GNAI2
ADSL	NAPB	SIMC1
TOP3B	TCEAL1	HECTD1
XRCC3	POLE3	CDK5R1
MAP2K2	ARL6IP5	MOCS2
DAG1	NEGR1	B4GALT1
MTRF1	DMD	ZNF74
WDR41	UPRT	RAB3GAP1
MSL2	FDX1	HAUS5
GPATCH2	FAM19A4	MTA2
ENAH	CARM1	SMARCE1
FTSJ2	SESTD1	NUP98
DBN1	FAM214B	PLTP
GPATCH1	DDX3X	HMSD
TTC39C	MTMR9	BMF
SLC12A7	LRRCC1	POLE4
GOLGA8B	HUWE1	FKBP11
RSPRY1	FRYL	LRSAM1
NPM3	SLC25A25	C16orf89
ZNF724P	CENPV	FAM211A
CSK	GPATCH8	ZKSCAN3
USP13	ZNF506	WDR6
STMN3	TRIM13	CTDSP2
HARS	ZNF507	SPCS1
GABRA3	FST	SLC16A12
KIF5C	MTHFD1L	CD74
KDM5B	KLF3	ATOX1
CITED4	KPNA6	LDHA
WWOX	GORASP2	OARD1
TMEM9	BAG1	RAB7L1
ZNF69	CDC42BPB	SAMD4B
MYH14	BAG5	UTP14A
OTUB1	MED22	SKP2
WDR82	THUMPD3	TNKS1BP1
PPIAL4C	DCTN5	ARHGAP1
TUBA1C	PCSK5	ENTPD4
SMC2	C1orf115	KIAA1586
MYEF2	RBFA	TPCN2
MYCBP2	AC013449.1	ZNF142
SGMS1	C8orf37	CASP7
CCNG1	HES7	SDCCAG3
ISOC2	STARD3	MTX2
SURF1	NVL	TFAM
SRSF7	ZDHHC6	HSP90B1
FBXW4	MAP4K3	MBD1
RWDD2A	HMG20A	VRTN
RXRA	NSMCE4A	TRIM28
ZNF655	OIP5	LNX1
GLG1	PGBD1	PFAS
NARS2	HOOK3	RFC5
NDUFAF2	PBXIP1	ATP5EP2
CELF4	SLIT2	SLC35F1
MRPL43	GCDH	ADCK4
RP11-297M9.1	KRTCAP2	MINA
SDCCAG3	GCFC2	AVPI1
NR2C2	ASCC1	NUDT6
INTS2	ARID4A	KIAA0556
USP39	GOLT1A	ZNF445
TBC1D20	AKAP8	PSIP1
CALB1	OXR1	WSCD1
GSS	UBE2L6	BICD2
USP42	SERPING1	COL4A2
MYO5A	DNAJC5	TNFRSF10D
SRGAP2	ZBTB1	HMGXB4
DPH3	RPA3-AS1	KIAA0141
CREB3L2	NUBP2	BEND6
COPS7B	SPOP	SARS
SF1	KPNA3	CCT8
DERL1	MTAP	ANXA4
CCDC138	GLRX	TMTC3
ZNF549	TMEM165	FGD4
RNF141	ORMDL3	AGPAT5
CLYBL	UNC119B	CCDC174
SC5D	OSTC	CLASP2
FBLN2	PLK4	PLCH1
RBP1	MTF1	C18orf8
UBAC2	CSRNP3	RPL11
REV1	C20orf112	KIAA0319L
PRIMPOL	RNF14	TPM2
C5orf24	DOCK4	UBE2D3
KBTBD2	ERCC4	FCGRT
EPHA1	HSPBAP1	NAA30
RPL39	RUVBL2	PCBP2
NUP214	AKR7A2	NOL8
PIGN	MAST3	PRDM2
UGGT1	ZHX1	VGF
TMEM182	TMEM184C	PPP2R2D
GTF3C3	HSDL2	MLH3
BLVRA	ARHGAP17	NKIRAS2
PIGP	SESN1	BCL9
C2CD5	GDPD2	APPL1
SEMA6D	LYRM2	SRCAP
YTHDF3	SMIM13	GDF11
MPP7	NDUFA6	YAP1
RDH10	DENND4C	ZNF30
EIF4EBP3	MKI67	PIN1
SAMD8	KLF10	VAV3
FDPS	IGSF1	CENPC
ZNF419	EFCAB10	TRMT61B
AEN	BIRC5	TTLL12
MTCH1	BBX	PASK
KIAA1191	TSKU	MYO1B
LRRC41	AAR2	RCCD1
TNFRSF10A	MED15	ADAT2
PIP5KL1	RP11-297M9.1	ETF1
KCTD1	ANKIB1	TRERF1
CREB3L4	RNF13	CADM2
TIMM8B	SMARCAD1	PLEKHG4B
UCP2	CAMSAP2	FTSJ1
ATP6V1F	MYO18A	TTC7B
ABCB7	EHD1	PRKAR1A
MRPL10	ZNF486	DDX41
ISCU	LRRC37A2	ZNF639
RGS19	MRPS23	PPM1B
OAZ2	PPM1B	ZNF48
FKBP1C	CNN1	OGT
TNNC2	MRPL52	PGAP3
ARHGAP23	ZNF248	GRB7
LYSMD4	ING5	LRRC16A
COG5	SLC9A1	ST14
TSC22D1	SLC6A8	PHF5A
C1orf216	ZBTB24	EPB41L3
ZNF197	FAM73A	FLVCR1
PGM2L1	SNRPG	TMEM53
ZNF530	FAM111A	CMTM4
NADK	DPCD	C1orf174
RAPGEF1	GYG1	AKAP17A
MLLT6	ANAPC4	DUS4L
RPS6KA5	POLG2	SOCS4
NKRF	ZNF740	ZBTB26
HIST1H2BJ	CNIH4	TMEM101
MRPL49	MCM2	CRYM
ZNRF2	GABPB1	DDX59
ATPAF2	PAIP2B	BOLA3
ZNF562	ZCCHC17	PHACTR4
USP45	NFAT5	LARP1B
HDAC2	UHRF1BP1L	TAMM41
CBWD7	TRIM36	CCRN4L
FRG1B	ING1	TWF1
HAS3	PBX3	TMEM184C
SLC44A2	KLHL21	SERPINB9
PCSK7	TRAP1	SMIM7
TTC7B	ZMAT3	DUSP7
ABHD11	CHAC2	KRTCAP3
GCLC	HIGD1A	LSM14A
COG1	TMEM143	CASC3
RGL2	C12orf49	FMNL2
DYNC2H1	PFDN1	NHEJ1
FBXL12	KRIT1	FAM120A
ATP5H	NBEA	TRIM41
SLC25A22	FBXO18	MAPK3
VAMP7	NPIPA8	RBM33
TMEM136	EXD2	MRPS7
JAGN1	HNRNPF	UTP20
CDK4	WDR91	ATP6V1F
EXOSC10	ZDHHC2	SLC25A12
BTBD3	NUDT10	ATG3
AGAP3	DNASE1	SREK1
ZNF253	MTFP1	PKP2
SELT	COPS8	IFRD2
MITD1	CCDC174	COBL
DUSP16	SEC22C	DHX34
TIMM17B	SLC38A1	SLC3A2
RPL12	SECISBP2	IRF2BPL
TAF1A	PCYOX1L	TMEM214
B3GAT1	KBTBD4	LSM3
LRPPRC	PRKAB2	TMEM216
PRPSAP1	LARP1	MKL1
AP1B1	SLC15A2	PAIP1
SIGMAR1	ARL4D	RBM12B
USF2	CIRBP	FIGN
DRG2	BLOC1S5	NAPB
GPC6	RPS14	RYR1
NME1	LCA5	KIAA1731
UTRN	OGFRL1	FECH
ZC3H13	IMMP1L	ALKBH6
EFR3A	RNASEH1	MCAT
CREBRF	PSMC2	TADA2A
CEP152	PIP5KL1	AGTPBP1
ZNF746	TARDBP	NFKB1
TMEM63A	ZNF135	TP53INP1
PDSS1	PARD3	MED26
RICTOR	CTNS	LHFPL2
KLHL5	POC5	OPA3
COL4A1	GYLTL1B	SP100
C22orf46	SEPT3	ZDHHC23
RABGAP1	NKAIN1	PHF1
ZNF136	NEMF	ELP4
SCN5A	LSM10	RREB1
ZNF160	LETMD1	EWSR1
RPS9	HMG20B	ENHO
YY1	SH2D5	OSTF1
DOC2A	FAM96A	VPS35
ZDHHC14	YIPF2	RAPGEFL1
ACTR6	BRF1	METTL4
SUCLA2	FAM161A	ATP5I
RNF4	RP11-195F19.5	ARHGEF1
TNFRSF10B	COMMD5	CC2D2A
BACH2	STIM2	YME1L1
ZER1	C1orf50	ZNF710
PLEKHA3	SLX4IP	PRMT10
LYSMD3	ABHD17C	ILVBL
PHKA2	DDX28	HPS3
COQ4	AKNA	FBXO30
UBR4	KRT7	DLGAP3
CRYZ	TRMT61A	GNG2
ZNF700	QKI	KIAA1143
SIRT7	GNB2	LYRM7
NCSTN	CTIF	TRMT10C
DGAT1	PNMA3	HNRNPA0
AUH	SARDH	HAGH
HES1	CTC-479C5.12	BLOC1S5
OGFOD3	TSPAN4	PPWD1
MANEA	CRABP2	ARSJ
BLOC1S5	UBE2R2	NMB
YTHDC1	LPPR3	TTC19
MSTO1	PGBD5	SPSB4
SF3A1	SPECC1	PRPSAP1
THOP1	TSEN34	KCTD14
HIST1H4D	ANO8	TIMM22
NUFIP1	LACTB	CCSER2
PDXDC1	ZNF772	CHST12
C14orf93	THAP3	MRPL44
RNF5	CTNND2	CELF2
SAT1	PJA2	CAMK1D
NDUFB2	HIST1H4A	PYCR2
CIB2	APP	AARS
SLC25A3	MAP3K13	SLC35C2
SIK2	TRAF7	GPHN
MAP2	MED17	WDTC1
RING1	SLC3A2	FABP7
TOMM20	MORN4	C19orf70
IPO8	CXorf56	UCK2
NISCH	TONSL	PDE2A
DYRK2	EIF4G3	AFG3L2
CARM1	RSF1	EIF5B
MRPS23	CMTM7	CHMP7
GPR143	NEXN	GOLGA7
FXYD5	CDCA3	GNB4
KRCC1	LAMTOR2	C14orf39
MREG	STAG2	MAP3K13
ZKSCAN2	PRMT6	DSCC1
SIGIRR	IRF6	PHF3
C2orf42	CLGN	RCAN2
TAP2	REEP4	SPOPL
CYB5D1	RNLS	CENPU
NIPSNAP3A	ALDOA	SPRY1
ORC3	SRRM4	PPP1R21
CHMP6	PNPLA2	PRRC2C
MBTD1	ZNF417	CD209
STXBP1	GMFB	CMSS1
NPHP1	KANSL2	CMC1
DDIT3	PRDX6	SBF1
SASS6	FAM72B	RWDD1
LPHN1	SRSF11	CREG1
ZNF544	MYO19	ARFGAP2
GPR160	CA2	YPEL5
IFT172	RUSC1	CDV3
CTAGE5	VAC14	NLGN3
POFUT1	COG2	CDC45
CDC42EP3	GTF3C4	SLC16A9
ATP6V1G1	RNASET2	C14orf1
SMAD3	NRXN2	TMED9
NPIPA7	IREB2	ACBD6
PGAM5	RPS5	SETD6
ERC1	MICU1	FOXH1
WDR55	MARCH8	SLC35G2
CEBPG	TMEM261	LYSMD4
NFYA	EHBP1	TTYH3
EHMT1	ARL10	ATAD5
SHCBP1	ZNF296	TSEN2
FRS2	CDH4	AP1M2
MGST1	SLC35B3	BRINP1
PSME3	C19orf53	MKNK1
YIPF5	TAOK3	MBD5
TDP2	PHACTR2	ELK3
GCC1	RCBTB1	PSMD2
UBE2B	RHPN2	DUS3L
OSGEPL1	NECAB3	VASH2
CENPI	COG6	OCIAD2
FAM21C	REXO4	DNMT1
OSBPL10	BCL2L1	DYNLL2
ADAMTS6	C4orf48	GABARAPL2
CNOT10	SLC39A3	FNDC3B
SCG5	NDUFA4	SRP72
CD320	UBE2S	ADH5
IQSEC1	FZR1	C7orf73
RALB	XKR8	CHMP3
TRIM28	MTRNR2L9	GSKIP
IDH3A	PRR3	SOX9
BBS2	GRAMD1A	SH2D3A
CEP170	AGTRAP	ZNF621
ZNF721	BLZF1	SLIT2
GSTM1	CHM	FAM3C
EML2	ACOT2	SPATA2
TRIM16	MACF1	SMARCAL1
FBXO8	NDUFA9	SRSF1
ADAM19	APEH	MON1A
ACP1	PI4KA	C9orf16
CAMKV	RPL35	BIN3
PIK3CD	TMEM52	TNFRSF21
IFT20	SMO	TTC17
SERPINB9	TRIO	ZNF287
LDLRAP1	MED20	C9orf78
PLAA	MT-ND6	RPS21
CUL2	USP6NL	CMTM7
PHC2	GOSR1	TARDBP
ZNF408	NANS	N6AMT2
LMTK2	VIM	B3GNT2
HRSP12	SNCA	TCTEX1D2
TTYH3	UBE2D1	CWC15
COMMD6	ZNF695	CCNT2
MPC1	MICB	TNNC2
SERINC1	HIST1H3I	IPO5
CARD8	WIPI2	SETD2
EIF2B1	HLA-A	TTC38
JRKL	TPBG	CC2D1A
TBL3	KIF2A	COX6C
ARL6	PRKAA2	CAPZA2
SCPEP1	PWP2	COASY
HYAL2	ZNF852	ZC3H3
DARS	PNMA1	MFAP1
CLINT1	KATNAL2	DHRS13
NECAP1	TNIK	BCL9L
BANF1	LUZP1	PDCL3
TVP23B	SLC27A5	MAP2K1
CHAC2	ZNF2	TMEM42
CHCHD3	FBXO10	TRIM33
ZCCHC6	DDX31	CDR2
FH	EFS	FUNDC2
PPP1R14B	SYNGAP1	KIF15
AIF1	CPE	FRMD4A
BCLAF1	GINS3	BOLA1
PRDM2	FAM35A	B4GALT6
ATP6V0B	CKS1B	EXD2
CD164	ACAT2	NPY1R
CNOT6L	DMRTA1	AS3MT
MYBBP1A	MGAT2	FAM195B
PCCA	KPNA4	KLHL18
SUSD5	ARL4A	FRMD5
SRM	RPL10	CCDC104
ZNF555	SPTSSA	EMB
SGTB	LIPG	ATP5J
MID1	SAT1	CPD
MDP1	TMEM169	SHC1
METTL7A	KIAA1468	EVI5
MAP2K5	C1orf172	CHMP1B
CDCA2	RCAN1	ATP5D
SERPINF1	PDE3A	SLC35B4
YBEY	JAM2	PPP1R17
MARCH3	INHBA	THBS4
MIER3	EPHX1	BCCIP
UBE2H	LIN54	ZNF160
NLE1	PPP1R37	KIF5C
PSMB2	MOB2	SPAG16
ACP2	TRIP6	ASPH
SNAPIN	EIF1AY	DNAJC8
C2CD2	STC2	NREP
FAM198A	EFNA3	HEY2
CLUAP1	IFT57	LNPEP
LRRC59	GSTA4	ANKRD39
TRAPPC1	IFT74	CABIN1
LGI2	CPOX	FZR1
TIPRL	EXOSC10	MYL12A
HIST1H2BG	TEAD4	HAUS7
TYSND1	NFKBIE	SCAMP4
SNAPC5	CCP110	CKAP2
CD74	FBXO44	RTN3
NMT2	SLC35G2	ATP2A2
COQ10B	SPC25	ZIC5
XKR8	FN3KRP	GOLPH3
SLC43A2	MORC3	MTMR10
GSTM4	PLEKHF2	DDX56
KTI12	DOCK7	GUF1
C21orf58	HCN3	SLC15A4
PROCA1	PTK7	S100PBP
CDK13	STRADB	PGGT1B
C15orf61	SHISA2	COIL
NUDT15	ZNF581	PDHA1
PRKAB2	UGGT1	TTC1
MRPL37	ARL5B	RPL14
MRPS30	CREBRF	RAB28
EIF3CL	S1PR3	TAF11
USP44	MTRNR2L6	ZNF391
UBE2D2	WDR4	APPBP2
SEZ6L2	GTF2H2	FAM184A
FRG1	TUBG2	DNAJB12
EXOC3	UPF1	PYROXD1
PTPRU	HDAC5	EIF4E
TAF7	SETD1B	RPL36
SPTBN2	PRDX2	LSMD1
SEMA6A	EMP3	EPOR
ZNF623	CTSC	NCK1
MGAT3	RPA3	TMTC4
PTGR1	ZNHIT6	KIF14
TUBB2B	HNRNPUL1	COPS8
PI4K2B	RPL9	WDR73
RNASEH2C	ZNF600	ABHD5
BASP1	JAM3	TPD52L1
PSMC3IP	JDP2	PYGB
ASS1	TUBD1	SLC22A17
ARHGAP11A	PKIB	COL14A1
MDK	PHLPP2	HIST1H4K
VBP1	KIF21B	TLE1
PROCR	GLB1L3	GSTM1
AMMECR1L	UGT8	CAPRIN1
TMEM25	FAM83D	RDH11
SCRN2	AIFM1	ZNF592
RABEPK	PTPRS	ZFP1
SMAD1	HACE1	HMGN2
GGPS1	CYYR1	CLIP2
ARL13B	DIP2C	BIRC6
CBX3	MLTK	RIOK2
RNF165	PYGB	HTR3A
ZNF219	CADM3	AP2B1
RPUSD1	ZNF529	FICD
CHST15	GNPTAB	FANCF
STPG1	UBXN7	QSOX2
PFKFB3	PLA2G15	EIF2S3
BAZ1A	SMC1A	SPTY2D1
SHMT1	DMXL2	TOR1AIP1
RASSF4	CLPTM1	DAGLB
SF3A3	RPS10	DESI1
TFPT	NLGN2	ASGR1
DDX23	NCKAP5L	RIMS3
HP1BP3	YME1L1	MAP2K3
PXDN	ERMP1	PEX7
DCTN1	MED13L	APPL2
TMEM181	CABIN1	CD3EAP
SETD6	MYCN	SCHIP1
RNF175	ZMYM3	ZNF585A
RPL14	ZNF445	DYNLL1
ELF3	PARL	SLC31A1
GNAL	DICER1	ZFP36L1
ENC1	CHID1	CCNK
GSPT1	RECK	PRDM4
GSTA4	INVS	SIDT2
TEX261	CDC7	RPS6KA4
NUDCD3	UNKL	PAPLN
LRPAP1	NDUFB7	MRPL21
C11orf24	EI24	RPGR
LONP1	LRRC8A	PDE6B
MSI2	XRCC6	IFIT1
VRK3	PRDX3	SMARCC2
C19orf60	ZNF354B	KCTD3
MBD6	UBAC2	ILKAP
ECHS1	NRXN3	C2CD3
TMUB2	FIBP	GTF2A1
AKAP7	PPM1A	EXOSC3
SEC24C	CHD7	WDR11
SLC20A2	ANAPC7	MPDU1
MRPL33	ZCCHC6	SNX30
IARS2	NCAPH	P4HTM
SLC35B3	EPB41L1	DHX9
SPP1	ACTR2	SLC25A38
H2AFY	ORC1	FANCA
CSTF2T	CYFIP1	CUL4B
SERPINH1	TM9SF1	LEO1
STRN4	GALNT12	FNIP1
ARMC8	C5orf22	GTF3C2
MTMR7	CS	CDK7
STXBP3	NRN1L	LIMS1
KIF5A	CGRRF1	MAN1A2
EEF1E1	MFSD10	GRIA3
CTU2	GSR	SUV39H1
PIGW	THOC5	ZBTB45
LRRC20	GALNT1	NCOA1
MRPS15	SEC62	SAP18
KDSR	BTBD11	MRPL32
GAP43	QSOX2	ACOT13
ZNF879	GSTM2	TBCEL
SUV420H1	SLC1A5	USP34
SMN1	KCTD2	ATRNL1
GPBP1	SAC3D1	MYLIP
GTF3C6	ZSWIM8	KRBOX4
RPL34	RAVER1	MOB1B
PALD1	ELF3	SCO1
SPIN1	PKN1	MNAT1
SUGT1	ATPAF1	SNRNP200
SLC7A6OS	NDUFAF4	RFX1
PPP1R8	S100A4	RAPGEF2
SMG9	STXBP6	GADD45GIP1
SNRK	STAT6	EMC6
PRMT2	NAPA	RPN2
SLC26A11	KCTD12	PCDH7
NCS1	SMPDL3B	DHRS4
ZCCHC9	GIPC1	RBMX2
TMEM129	QRICH1	BRD9
AEBP2	ZBTB21	GAP43
PITPNB	AMPH	RAB9A
PDIA6	FAN1	CROT
DTNA	CMTM4	UNG
NUDT14	USP34	PPTC7
ZNF169	KCTD10	KCTD10
LINC00998	ALDH2	FAF2
VANGL1	RP11-1407O15.2	GMIP
CEP63	FAM200A	TMEM126B
NME4	SLC25A13	CCL26
RPL10A	OPTN	ZFYVE1
MMGT1	ZNF207	BCAP29
PIKFYVE	LRIG2	GCC1
SEPT9	CDK14	GOPC
APOA1BP	TRIM35	BTRC
BACE2	MED12	EIF5A2
PKD1	LPHN1	RPS7
ZSCAN2	ZNF577	WDR27
STK16	PECR	PITHD1
SMURF2	GNL3L	MAN2A1
DBT	EXOSC4	ADIPOR1
GOLGA7	COQ3	CC2D1B
ZNF514	MCF2L	B3GALNT2
HIST1H1D	TSPAN33	NIP7
RIPK2	SMURF1	SHPK
SLC25A28	TACR3	ABHD3
TMEM223	MN1	PABPN1
TUBA4A	FADD	DNAJA1
KCTD5	TBK1	R3HDM1
CRTAP	BOC	MAP4K1
PAQR3	FLYWCH1	NETO2
RBM47	CMSS1	ARFRP1
CAPZA1	PHPT1	MCFD2
ENTPD7	MYLK	NAA40
HNRNPU	BMPR1A	RAB6A
SCAMP2	ZRSR2	SMARCC1
ZNF426	RGPD4	AGBL5
NFATC2IP	ERBB3	FAM168A
ADRBK2	TSPAN2	BCL7C
ATP13A2	ORC6	INSIG2
MOSPD1	C9orf72	FPGS
HAUS4	BUB1	PIK3C2A
ILK	LDB1	CACTIN
RPP25	MCRS1	SKA2
ASCC3	PTMS	PHTF1
STK11	IGDCC3	SPEG
CCDC77	DBR1	RPL34
AARD	RYK	MTERFD3
KIAA2013	BTG3	CHPT1
DDX26B	APOC1	SAP30
MPHOSPH8	FNIP2	YES1
FAM58A	PIM2	STK38L
CBWD1	MAN2A1	GPR98
LARP6	LMO4	POLE2
ANKRD52	ALG3	LIMD2
FAM120A	RASAL2	TUBE1
ATG9A	ENKD1	EFCAB2
CCDC93	C11orf30	POLR2D
ARMCX4	POLG	NACA2
PDE4B	PCGF6	FAM118A
CDCA4	SYF2	SUSD5
EIF5	PSMD2	PKD1
SAP130	SCLT1	POP7
PCBD2	TYRO3	MCM3
USP47	RHOC	RBM26
