NA19098	NA19101	NA19239
FAF1	POLE	STMN2
STX16	C9orf16	DCP2
ZFYVE21	NXT1	PLEC
EIF4H	KIF16B	FAM195A
GGA2	BMF	MLTK
LRRC28	GAB2	MFSD3
SNRNP70	TBC1D20	EXOC5
C1orf21	STMN2	TEAD2
PRR12	FAM160A1	DPP9
HSDL1	GOLGA8A	TTC3
ARHGEF26	IMPACT	SCAMP5
DNAL4	CBWD7	ASF1A
SMARCA4	SGSM2	PABPC4
LRRC45	PIBF1	RABGGTB
CERS6	CCAR1	AGAP3
HCFC1	CDH1	TSPAN4
DERL3	ETFA	KPNA5
AGO4	NSFL1C	MRPS27
CYHR1	ZNF672	PSEN2
PACS1	RPL32	SDK2
TPBG	PTCD3	ANLN
HSPA4L	VPS18	ZMAT3
RPS15A	DNAJA4	GUCA1A
CAST	HIST1H4F	NCKAP1
RAB30	DDX20	EIF3B
ARL10	ATR	PCOLCE
CMSS1	PDHX	ZMYM3
FKBP1B	CLK1	EEF1A1
RIT1	SLC35C1	COL1A1
DOCK7	RNF5	CPSF4
WASF1	C10orf12	SF1
RIMKLB	WBP5	AQP11
MYADM	NR1H2	GTF2I
MFSD1	CDC5L	GABPB1
C15orf41	SRRM2	GPR161
NELFA	DUS2	CHD7
OSBPL8	COMMD6	SPHK2
PGGT1B	METTL21A	C1orf35
KHSRP	OXLD1	NEIL2
BAG1	CLCN4	BCAS2
SLC39A6	GNB1L	NBPF3
ALKBH4	TRMT112	CLN3
VANGL2	AP2S1	ZYX
PGAM4	CHST7	POLR2B
GBF1	TMCO1	NDUFB6
TMEM179B	SLMO2	YBX1
MPV17L2	GPCPD1	KLF6
COX19	AGPAT6	PRPSAP2
TM2D2	PRDX5	BCL10
ADD1	SC5D	ADD2
PPP1R13B	ZNF77	TRIM45
GUCD1	AKT3	MCEE
CTD-2228K2.5	FAT3	TTC39C
SGTA	VPS4A	STRN
TNRC6B	PSIP1	RAVER2
LSS	RPS23	SCAPER
SH3BGRL	GLRX5	REV1
WRB	PUM1	NRXN3
ZNF302	TMEM126B	SULT1A3
SLC15A3	KIAA1143	ZNF417
TAF6L	SH3BP2	IGSF3
GLB1	ATP5A1	MARCKSL1
ALG11	RIC3	ARL5B
PIP4K2A	ZMAT1	ORC1
PHF21B	ADAM15	HECTD2
HAPLN4	MTCH2	CA5B
TMEM41B	DYNC1I2	THNSL1
RPP14	ZNF519	H2AFX
CITED2	TIAM1	ANKRD34B
FANCC	UQCRFS1	PDRG1
DMXL2	C1orf131	PWP1
