"","p-value"
"ENSG00000197595",0.0077
"ENSG00000132507",0.0077
"ENSG00000224186",0.0077
"ENSG00000147996",0.0077
"ENSG00000231122",0.0079
"ENSG00000127588",0.0079
"ENSG00000108244",0.0079
"ENSG00000125812",0.0079
"ENSG00000029559",0.0079
"ENSG00000184678",0.0081
"ENSG00000170323",0.0081
"ENSG00000203795",0.0083
"ENSG00000132563",0.0083
"ENSG00000071859",0.0083
"ENSG00000197530",0.0085
"ENSG00000162692",0.0085
"ENSG00000075826",0.0085
"ENSG00000103184",0.0085
"ENSG00000108296",0.0085
"ENSG00000169710",0.0085
"ENSG00000006016",0.0085
"ENSG00000273045",0.0085
"ENSG00000269686",0.0085
"ENSG00000181322",0.0085
"ENSG00000226887",0.0085
"ENSG00000152785",0.0085
"ENSG00000177239",0.0085
"ENSG00000107807",0.0086
"ENSG00000135697",0.0086
"ENSG00000149633",0.0086
"ENSG00000185883",0.0088
"ENSG00000198931",0.0088
"ENSG00000163159",0.0091
"ENSG00000106484",0.0091
"ENSG00000007080",0.0092
"ENSG00000172031",0.0093
"ENSG00000135362",0.0093
"ENSG00000134780",0.0093
"ENSG00000166435",0.0093
"ENSG00000182108",0.0093
"ENSG00000160305",0.0093
"ENSG00000100290",0.0093
"ENSG00000109132",0.0093
"ENSG00000011332",0.0095
"ENSG00000173566",0.0095
"ENSG00000253159",0.0097
"ENSG00000132297",0.0098
"ENSG00000163444",0.0099
"ENSG00000007392",0.01
"ENSG00000152254",0.01
"ENSG00000128591",0.01
"ENSG00000164743",0.01
